State,Population,Number of Fast Food Restaurants
California,39.37,31473
Texas,29.36,20219
Florida,21.73,15073
New York,19.34,17178
Pennsylvania,12.78,9772
Illinois,12.59,9515
Ohio,11.69,9807
Georgia,10.71,8749
North Carolina,10.6,7824
Michigan,9.97,6228
New Jersey,8.88,6755
Virginia,8.59,6757
Washington,7.69,4844
Arizona,7.42,4388
Tennessee,6.89,5329
Massachusetts,6.89,5222
Indiana,6.75,5010
Missouri,6.15,4497
Maryland,6.06,5382
Wisconsin,5.83,3650
Colorado,5.81,4371
Minnesota,5.66,3937
South Carolina,5.22,3800
Alabama,4.92,4442
Louisiana,4.65,3922
Kentucky,4.48,3437
Oregon,4.24,3185
Oklahoma,3.98,2802
Connecticut,3.56,2616
Utah,3.25,2534
Iowa,3.16,2189
Nevada,3.14,2645
Arkansas,3.03,2364
Mississippi,2.97,2446
Kansas,2.91,2107
New Mexico,2.11,1445
Nebraska,1.94,1464
Idaho,1.83,1244
West Virginia,1.78,1408
Hawaii,1.41,1444
New Hampshire,1.37,1083
Maine,1.35,948
Montana,1.08,775
Rhode Island,1.06,906
Delaware,0.99,785
South Dakota,0.89,614
North Dakota,0.77,497
Alaska,0.73,411
District of Columbia,0.71,#N/A
Vermont,0.62,380
Wyoming,0.58,368
