city,lat,lng,population,sentiment
Alhambra,34.095286000000065,-118.12701399999979,83089,0.09697797898796161
Anaheim,33.83529200000201,-117.91450300000218,336265,0.142903635537101
Antioch,38.004922000000064,-121.80578899999956,102372,0.12335479129923574
Bakersfield,35.373292000000184,-119.01871099999977,347483,0.09921843710427891
Baldwin Park,34.08528600000074,-117.9608969999986,75390,0.10830447423824355
Bellflower,33.88168300000003,-118.11701100000009,76616,0.08753224206349204
Berkeley,37.87159200000012,-122.27274700000021,112580,0.03789160740053596
Buena Park,33.867513999999424,-117.998117000002,80530,0.14818824816210122
Carlsbad,33.15809199999976,-117.35059400000117,105328,0.12331869835403679
Carson,33.831405999999426,-118.28201699999916,91714,0.10721275653133824
Chico,39.72849399999996,-121.8374779999999,86187,0.12861398320656497
Chino,34.01223599999981,-117.68894400000046,77983,0.08733448829449994
Chula Vista,32.64005300000004,-117.08419700000007,243916,0.17417019876259007
Clovis,36.82522800000033,-119.70291900000156,95631,0.12440475514651862
Compton,33.89585000000003,-118.22007200000006,96455,0.12991543340380549
Concord,37.97797800000033,-122.03107199999977,122067,0.10251945523114876
Corona,33.87529400000006,-117.56643899999933,152374,0.17622472937068473
Costa Mesa,33.641132999999186,-117.9186690000036,109960,0.12205705791743571
Daly City,37.68792500000181,-122.47020799999936,101123,0.09533896128772232
Downey,33.94001400000001,-118.13256900000005,111772,0.15364583333333331
El Cajon,32.79477199999976,-116.96252799999834,99478,0.09990176346063624
Escondido,33.11920800000006,-117.08642200000027,143911,0.1211043110866616
Fairfield,38.24935800000002,-122.0399669999999,105321,0.10367860395524332
Fontana,34.092232999999695,-117.43504699999966,196069,0.1190075298454372
Fresno,36.7468420000002,-119.77258599999948,494665,0.1219485418608759
Fullerton,33.87029200000039,-117.92533900000282,135161,0.13900632961458523
Garden Grove,33.773906000001276,-117.94144700000211,170883,0.13389128560976127
Glendale,34.142507999999935,-118.25507499999964,191719,0.13133645995966695
Hawthorne,33.91640299999996,-118.3525749999999,84293,0.061645713709515805
Hayward,37.66881900000032,-122.08079700000037,144186,0.08560101628475839
Hemet,33.747519000000004,-116.97196700000015,78657,0.10561878269300144
Hesperia,34.42638900000007,-117.300878,90173,0.1625156562678673
Huntington Beach,33.66029700000023,-117.99922500000396,189992,0.14414413161064527
Indio,33.72057800000015,-116.2155610000006,76036,0.0981574153117079
Inglewood,33.96168099999732,-118.3531310000015,109673,0.08069836551689628
Irvine,33.68394699999989,-117.79469399999941,212375,0.11373006713626416
Lakewood,33.853627999999965,-118.13395599999981,80048,0.14402036881875585
Lancaster,34.68678600000012,-118.15416399999971,156633,0.12809712091775893
Livermore,37.68187500000015,-121.76800799999945,80968,0.12583872337979482
Long Beach,33.768321999999905,-118.1956169999993,462257,0.10658648450315115
Los Angeles,34.05223299999878,-118.24368600000152,3792621,0.12465503670037062
Merced,37.30216400000005,-120.48296699999993,78958,0.11703016186711838
Mission Viejo,33.600021999999825,-117.67199399999917,93305,0.09430899120705609
Modesto,37.639096999999914,-120.99687800000054,201165,0.09001439759405445
Moreno Valley,33.942467000000015,-117.22967200000001,193365,0.0433087407172773
Napa,38.297539000000064,-122.2868639999998,76915,0.08286059523809522
Newport Beach,33.618911000000004,-117.92894699999754,85186,0.12618543520090061
Oakland,37.804364000000355,-122.271114000002,390724,0.10434932668431314
Oceanside,33.19586899999981,-117.37948299999968,167086,0.12642331321781616
Ontario,34.06334399999935,-117.65088899999802,163924,0.11663910953017721
Orange,33.78779400000161,-117.85311100000236,136416,0.12964292360760016
Oxnard,34.19750600000031,-119.17705299999955,197899,0.118753734297952
Palmdale,34.57943299999999,-118.11646099999977,152750,0.1411346772678925
Pomona,34.055228000000156,-117.75230599999938,149058,0.09768437668818275
Rancho Cucamonga,34.1064000000003,-117.59310800000061,165269,0.11343773078252407
Redding,40.586538999999945,-122.39167499999994,89861,0.12625458780350082
Redwood City,37.48521400000023,-122.23635599999774,76815,0.07615800219151266
Rialto,34.10640000000021,-117.37032500000137,99171,0.09500653643648291
Richmond,37.93575799999981,-122.34775000000057,103701,0.08613246258099193
Riverside,33.95334999999983,-117.39615599999969,303871,0.07225193884451206
Roseville,38.75212199999989,-121.28800600000059,118788,0.12112377307821584
Sacramento,38.58157199999952,-121.49439999999927,466488,0.09899024299577686
Salinas,36.67773599999998,-121.65550000000034,150441,0.11156620050955987
San Bernardino,34.108344000000194,-117.28976400000067,209924,0.11551726892382759
San Diego,32.715328,-117.15725600000013,1307402,0.19747088139133595
San Francisco,37.774931000001814,-122.41941700001155,805235,0.10514491458780392
San Jose,37.33938599999968,-121.89495600000197,945942,0.12400376940323242
San Leandro,37.7249310000004,-122.15607800000001,84950,0.07401040773612395
San Marcos,33.143372000000056,-117.16614400000114,83781,0.11825490669411944
San Mateo,37.56299199999955,-122.32552499999979,97207,0.08670330221489671
Santa Ana,33.74557199999982,-117.86783300000106,324528,0.12478839189719705
Santa Barbara,34.42083100000014,-119.69818899999966,88410,0.14941679473885083
Santa Clara,37.354107999999584,-121.95523599999956,116468,0.11527089204626277
Santa Clarita,34.391664000000254,-118.54258600000087,176320,0.10654432734339209
Santa Maria,34.95303299999992,-120.4357189999998,99553,0.12706856840162764
Santa Monica,34.01945299999741,-118.49119199998995,89736,0.08317970360185226
Santa Rosa,38.44046700000005,-122.71443100000023,167815,0.10495766323462025
South Gate,33.95473599999997,-118.21201699999989,94396,0.10845276501394088
Stockton,37.95770300000003,-121.29078099999975,291707,0.0763590910185706
Sunnyvale,37.36883099999979,-122.03634999999844,140081,0.13036278117697597
Temecula,33.4936390000001,-117.1483640000004,100097,0.10586575728634963
Torrance,33.83585000000018,-118.3406280000025,145438,0.10860970715335637
Tracy,37.73964999999999,-121.42522199999989,82922,0.13797580819957364
Tustin,33.74584999999943,-117.8261669999984,75540,0.12389899626103784
Vacaville,38.35657799999994,-121.98774399999999,92428,0.12836260672198174
Vallejo,38.10408600000003,-122.25663600000004,115942,0.01238736780837476
Ventura,34.2746390000001,-119.2290059999997,106433,0.0618291403261641
Victorville,34.53610799999992,-117.291158,115903,0.09053884548611112
Visalia,36.33022799999993,-119.29205799999968,124442,0.16705469588282085
Vista,33.200036000000004,-117.24253599999938,93834,0.12479234775340142
West Covina,34.068621999999486,-117.93895300000155,106098,0.10778407299452446
Westminster,33.75134200000104,-117.9939920000027,89701,0.147022311807901
